No.,Couplet
1,Cỏ non xanh tận chân trời / Cành lê trắng điểm một vài bông hoa.
2,Sống làm vợ khắp người ta / Hại thay thác xuống làm ma không chồng.
3,Người đâu gặp gỡ làm chi / Trăm năm biết có duyên gì hay không.
4,Ngổn ngang trăm mối bên lòng / Nên câu tuyệt diệu ngụ trong tính tình.
5,Một mình lưỡng lự canh chầy / Đường xa nghĩ nỗi sau này mà kinh.
6,Sầu đong càng khắc càng đầy / Ba thu dồn lại một ngày dài ghê.
7,Mành tương phất phất giò đàn / Hương gây mùi nhớ trà khan giọng tình.
8,Gió chiều như giục cơn sầu / Vi lô hiu hắt như mầu khơi trêu.
9,"Rằng: trăm năm, kể từ đây / Của tin gọi một chút này làm ghi"
10,Bây giờ rõ mặt đôi ta / Biết đâu rồi nữa chẳng là chiêm bao
11,Gìn vàng giữ ngọc cho hay / Cho đành lòng kẻ chân mây cuối trời.
12,Trăng thề còn đó trơ trơ / Dám xa xôi mặt mà thơ thớt lòng.
13,Ông tơ ghét bỏ chi nhau / Chưa vui sum họp đã sầu chia phôi.
14,"Đau lòng tử biệt sinh ly / Thân còn chẳng tiếc, tiếc gì đến duyên."
15,Phận sao đành vậy cũng vầy / Cầm như chẳng đỗ những ngày còn xanh.
16,Trong tay đã sẵn đồng tiền / Dù lòng đổi trắng thay đen khó gì.
17,"Đau lòng kẻ ở người đi / Lệ rơi thấm đá, tơ chia rũ tằm."
18,Biết thân đến bước lạc loài / Nhị đào thà bẻ cho người tình chung.
19,"Miếng ngon kề đến tận nơi / Vốn nhà cũng tiếc, của trời cũng tham."
20,"Đoạn trường thay lúc phân kỳ / Vó câu khấp khểnh, bánh xe gập ghềnh."
21,"Thôi con còn nói chi con / Sống nhờ đất khách, thác chôn quê người."
22,Từ đây góc bể bên trời / Nắng mưa thui thủi quê người một thân.
23,Vi lô san sát hơi may / Một trời thu để riêng ai một người.
24,"Dặm khuya ngất tạnh, mù khơi / Thấy trăng mà thẹn những lời non sông"
25,Thoắt trông nhờn nhợt màu da / Ăn chi to lớn đẫy đà làm sao.
26,Thương ôi tài sắc bậc này / Một dao oan nghiệt đứt dây phong trần.
27,Cũng liều nhắm mắt đưa chân / Để xem con tạo xoay vần đến đâu.
28,"Đêm thu khắc lậu, canh tàn / Gió cây trút lá, trăng ngàn ngậm gương."
29,Thân lươn bao quản lấm đầu / Chút lòng trinh bạch từ sau xin chừa.
30,Vui là vui gượng kẻo là / Ai tri âm đó mặn mà với ai.
31,Đã đày vào kiếp phong trần / Sao cho sỉ nhục một lần mới thôi.
32,Rõ ràng trong ngọc trắng ngà / Dày dày sẵn đúc một tòa thiên nhiên.
33,Thương sao cho trọn thì thương / Tính sao cho vẹn mọi đường thì vâng.
34,Vầng trăng ai xẻ làm đôi / Nửa in gối chiếc nửa soi dặm trường.
35,Long lanh đáy nước in trời / Thành xây khói biếc non phơi bóng vàng.
36,"Bước vào phòng cũ lầu thơ / Tro than một đống, nắng mưa bốn tường."
37,Bốn phương mây trắng một màu / Trông vời cố quốc biết đâu là nhà.
38,Bề ngoài thơn thớt nói cười /Mà trong nham hiểm giết người không dao.
39,"Nhẹ như bấc, nặng như chì / Gỡ cho ra nợ còn gì là duyên."
40,Phận bèo bao quản nước sa / Lênh đênh đâu nữa cũng là lênh đênh.
41,Biết thân tránh chẳng khỏi trời / Cũng liều mặt phấn cho rồi ngày xanh.
42,Đến bây giờ mới thấy đây / Mà lòng đã chắc những ngày một hai.
43,Tiếc thay chút nghĩa cũ càng / Dẫu lìa ngó ý còn vương tơ lòng.
44,"Đàn bà dễ có mấy tay / Đời xưa mấy mặt, đời này mấy gan."
45,Phong trần mài một lưỡi gươm / Những phường giá áo túi cơm sá gì.
46,Chọc trời khuấy nước mặc dầu / Dọc ngang nào biết trên đầu có ai.
47,Một cung gió thảm mưa sầu / Bốn dây rỏ máu năm đầu ngón tay.
48,Đánh tranh chụm nóc thảo đường / Một gian nước biếc mây vàng chia hai.
49,"Thẫn thờ lúc tỉnh lúc mê / Máu theo nước mắt, hồn lìa chiêm bao."
50,Tưởng bây giờ là bao giờ / Rõ ràng mở mắt còn ngờ chiêm bao.
